neighborhood,neighborhood_ascii,lat,lng,city_name,city_id,state_name,state_id,source,timezone,zips,county_fips,county_name,id
Marble Hill,Marble Hill,40.87597,-73.91038,New York,1840034016,New York,NY,polygon,America/New_York,10463,36061,New York,184003401611100
Randall's Island,Randall's Island,40.79101,-73.9246,New York,1840034016,New York,NY,polygon,America/New_York,10035,36061,New York,184003401611101
Roosevelt Island,Roosevelt Island,40.76192,-73.94993,New York,1840034016,New York,NY,polygon,America/New_York,10044,36061,New York,184003401611102
Inwood,Inwood,40.86865,-73.92138,New York,1840034016,New York,NY,polygon,America/New_York,10034,36061,New York,184003401611103
Morningside Heights,Morningside Heights,40.80947,-73.96205,New York,1840034016,New York,NY,polygon,America/New_York,10026 10027 10025 10115,36061,New York,184003401611104
East Harlem,East Harlem,40.79688,-73.94061,New York,1840034016,New York,NY,polygon,America/New_York,10029 10035 10037,36061,New York,184003401611105
Central Park,Central Park,40.78248,-73.96557,New York,1840034016,New York,NY,polygon,America/New_York,10029 10024 10023,36061,New York,184003401611106
Civic Center,Civic Center,40.71379,-74.00287,New York,1840034016,New York,NY,polygon,America/New_York,10007 10038 10013 10278,36061,New York,184003401611107
Tribeca,Tribeca,40.71944,-74.00866,New York,1840034016,New York,NY,polygon,America/New_York,10007 10013,36061,New York,184003401611108
Two Bridges,Two Bridges,40.71125,-73.99241,New York,1840034016,New York,NY,polygon,America/New_York,10002 10038,36061,New York,184003401611109
Chinatown,Chinatown,40.71576,-73.99556,New York,1840034016,New York,NY,polygon,America/New_York,10002 10013,36061,New York,184003401611110
Fort George,Fort George,40.85704,-73.93155,New York,1840034016,New York,NY,polygon,America/New_York,10040 10034 10033,36061,New York,184003401611111
Harlem,Harlem,40.81677,-73.94755,New York,1840034016,New York,NY,polygon,America/New_York,10026 10027 10039 10037 10031 10030,36061,New York,184003401611112
Washington Heights,Washington Heights,40.84114,-73.9399,New York,1840034016,New York,NY,polygon,America/New_York,10039 10033 10032,36061,New York,184003401611113
Upper East Side,Upper East Side,40.7728,-73.95651,New York,1840034016,New York,NY,polygon,America/New_York,10128 10162 10028 10022 10021 10065 10075,36061,New York,184003401611114
Upper West Side,Upper West Side,40.78712,-73.97615,New York,1840034016,New York,NY,polygon,America/New_York,10024 10025 10023 10069,36061,New York,184003401611115
Hell's Kitchen,Hell's Kitchen,40.76273,-73.99393,New York,1840034016,New York,NY,polygon,America/New_York,10001 10036 10019 10018,36061,New York,184003401611116
Sutton Place,Sutton Place,40.7571,-73.96183,New York,1840034016,New York,NY,polygon,America/New_York,10022,36061,New York,184003401611117
Midtown,Midtown,40.75509,-73.97612,New York,1840034016,New York,NY,polygon,America/New_York,10103 10169 10167 10022 10020 10001 10112 10110 10111 10152 10153 10154 10170 10171 10172 10173 10174 10177 10036 10019 10018 10017 10016,36061,New York,184003401611118
Theater District,Theater District,40.75918,-73.98466,New York,1840034016,New York,NY,polygon,America/New_York,10020 10036 10019,36061,New York,184003401611119
Garment District,Garment District,40.75287,-73.98923,New York,1840034016,New York,NY,polygon,America/New_York,10001 10018,36061,New York,184003401611120
Murray Hill (Manhattan),Murray Hill (Manhattan),40.74792,-73.97547,New York,1840034016,New York,NY,polygon,America/New_York,10168 10165 10017 10016,36061,New York,184003401611121
Kips Bay,Kips Bay,40.74071,-73.9775,New York,1840034016,New York,NY,polygon,America/New_York,10010 10016,36061,New York,184003401611122
Stuyvesant Town,Stuyvesant Town,40.73187,-73.97666,New York,1840034016,New York,NY,polygon,America/New_York,10009 10010,36061,New York,184003401611123
Gramercy,Gramercy,40.73645,-73.98725,New York,1840034016,New York,NY,polygon,America/New_York,10003 10011 10010,36061,New York,184003401611124
Flatiron District,Flatiron District,40.7414,-73.98892,New York,1840034016,New York,NY,polygon,America/New_York,10010,36061,New York,184003401611125
East Village,East Village,40.72812,-73.98707,New York,1840034016,New York,NY,polygon,America/New_York,10003 10009,36061,New York,184003401611126
Chelsea,Chelsea,40.74736,-74.0004,New York,1840034016,New York,NY,polygon,America/New_York,10001 10199 10119 10011,36061,New York,184003401611127
NoHo,NoHo,40.72705,-73.99337,New York,1840034016,New York,NY,polygon,America/New_York,10003 10012,36061,New York,184003401611128
